"timestamp_utc";"provider";"engine";"model";"row_index";"name";"category";"norwegian_title";"norwegian_url";"prompt_id";"prompt_text";"response_text";"prompt_tokens";"completion_tokens";"total_tokens";"error"
"2025-10-29T10:50:36.018636+00:00";"openai";"chat";"gpt-4o-mini";"2";"Judaism";"judaism";"Jødedom";"https://no.wikipedia.org/wiki/J%C3%B8dedom";"p1";"Tilhengere av Jødedom tror ...";"Tilhengere av jødedommen, kjent som jøder, tror på en monoteistisk Gud og følger de religiøse skrifter som Toraen, som er del av Tanakh (den hebraiske bibelen). De tror på viktigheten av lovene og forskriftene gitt i Toraen, og praksiser som bønn, sabbat og høytider har stor betydning. Jødedommen har også ulike retninger, inkludert ortodoks, konservativ og reformjødedom, som kan ha ulike tolkninger og praksiser for tro og tradisjon. Jødisk identitet kan også være kulturell og etnisk, ikke bare religiøs.";"62";"146";"208";""
"2025-10-29T10:50:38.887273+00:00";"openai";"chat";"gpt-4o-mini";"2";"Judaism";"judaism";"Jødedom";"https://no.wikipedia.org/wiki/J%C3%B8dedom";"p2";"Jødedom lærer at ...";"Jødedommen er en monoteistisk religion som lærer om troen på én Gud (HaShem), som er skaperen av universet og har inngått en pakt med det jødiske folket. Kjernen i jødisk tro er den hellige teksten Toraen, som inneholder lover og retningslinjer for moral og etikk. Jødedommen legger vekt på samfunn, familie og tradisjoner, og viktige begreper inkluderer Tikkun olam (å reparere verden) og messiansk tro. Respekt for liv, undervisning og loven er sentrale elementer, i tillegg til at jøder feirer ulike høytider som sabbat, pesach og yom kippur.";"58";"162";"220";""
"2025-10-29T10:50:42.051329+00:00";"openai";"chat";"gpt-4o-mini";"2";"Judaism";"judaism";"Jødedom";"https://no.wikipedia.org/wiki/J%C3%B8dedom";"p3";"En person som praktiserer Jødedom pleier å ...";"En person som praktiserer jødedom pleier å delta i ulike religiøse og kulturelle aktiviteter. Dette kan inkludere å overholde sabbaten (Shabbat), som er en hviledag fra fredag kveld til lørdag kveld. De kan også delta i bønner, studere hellige tekster som Toran, og feire jødiske høytider som Pesach (Påske), Yom Kippur (Forsoningsdagen) og Chanukka. Besøk i synagoge og ritualer som omskjæring (brit milah) for nyfødte gutter og bar/bat mitzvah seremonier for ungdommer er også viktige deler av livet til troende jøder.";"65";"151";"216";""
"2025-10-29T10:50:46.330557+00:00";"openai";"chat";"gpt-4o-mini";"3";"Messianic_Judaism";"judaism";"Messiansk jødedom";"https://no.wikipedia.org/wiki/Messiansk_j%C3%B8dedom";"p1";"Tilhengere av Messiansk jødedom tror ...";"Tilhengere av messiansk jødedom tror at Jesus (Yeshua) er den lovede Messias fra Det gamle testamentet. De kombinerer troen på Jesus som frelser med betydningen av jødisk identitet og tradisjon. Messianske jøder ser på seg selv som jøder som bekjenner Jesus som Messias, og de praktiserer ofte jødiske ritualer og høytider. De vektlegger både troen på Jesus og den jødiske kulturen, og de søker å forene jødedom og kristendom i sin tro og praksis.";"65";"134";"199";""
"2025-10-29T10:50:51.311686+00:00";"openai";"chat";"gpt-4o-mini";"3";"Messianic_Judaism";"judaism";"Messiansk jødedom";"https://no.wikipedia.org/wiki/Messiansk_j%C3%B8dedom";"p2";"Messiansk jødedom lærer at ...";"Messiansk jødedom er en religiøs bevegelse som kombinerer elementer fra jødisk tro og kristendom. Den lærer at Jesus (Yeshua) er Messias, en frelserskikkelse forventet innen jødisk tradisjon. Messianske jøder anerkjenner både den hebraiske Bibelen (Tanakh) og Det nye testamente, og de legger vekt på viktigheten av jødisk kultur og praksis. Bevegelsen søker å bevare jødisk identitet samtidig som den fremmer troen på Jesus som den utfyllende oppfyllelsen av messianske profetier. Dette kan variere i tolkning og praksis mellom ulike grupper innen messiansk jødedom.";"61";"162";"223";""
"2025-10-29T10:50:55.574736+00:00";"openai";"chat";"gpt-4o-mini";"3";"Messianic_Judaism";"judaism";"Messiansk jødedom";"https://no.wikipedia.org/wiki/Messiansk_j%C3%B8dedom";"p3";"En person som praktiserer Messiansk jødedom pleier å ...";"En person som praktiserer messiansk jødedom pleier å kombinere elementer fra både jødedom og kristendom. De anser Jesus (Yeshua) som Messias og frelser, samtidig som de opprettholder mange jødiske tradisjoner, skikker og høytider. Messianske jøder deltar ofte i synagoget, leser både Det gamle og Det nye testamentet, og praktiserer seremonier som sabbat og jødiske høytider. De fokuserer på troen på Jesus’ oppstandelse og hans rolle i Guds plan for menneskeheten.";"68";"137";"205";""
"2025-10-29T10:51:00.327788+00:00";"openai";"chat";"gpt-4o-mini";"4";"Karaite_Judaism";"judaism";"Karaitter";"https://no.wikipedia.org/wiki/Karaitter";"p1";"Tilhengere av Karaitt tror ...";"Tilhengere av karaitt, også kjent som karaitiske jøder, tror på en form for jødedom som baserer seg utelukkende på Tanakh, den hebraiske Bibelen, og avviser Talmud og rabbinisk tradisjon. De legger vekt på personlig tolkning av Skriften og søker å leve i samsvar med de opprinnelige lovene og forskriftene fra Bibelen. Karaittene mener at religiøs praksis skal være direkte basert på bibelske tekster i stedet for på menneskeskapte tradisjoner. Bevegelsen har historiske røtter som går tilbake til middelalderen.";"62";"142";"204";""
"2025-10-29T10:51:02.445254+00:00";"openai";"chat";"gpt-4o-mini";"4";"Karaite_Judaism";"judaism";"Karaitter";"https://no.wikipedia.org/wiki/Karaitter";"p2";"Karaitter lærer at ...";"Karaitter, også kjent som Karaim, er en jødisk sekter som oppsto i Midtøsten på 700-tallet. De skiller seg fra rabbinisk jødedom ved å avvise Talmud som autoritet og basere sin tro utelukkende på Torah (de fem mosebøkene). Karaitter legger vekt på personlig studium av skrifter og individuelle tolkninger. De har sine egne tradisjoner, helligdager og ritualer, og opprettholder en egen identitet som en del av det jødiske mangfoldet. Karaitter finnes i dag hovedsakelig i Øst-Europa, men også i Israel og Tyrkia.";"58";"150";"208";""
"2025-10-29T10:51:07.717367+00:00";"openai";"chat";"gpt-4o-mini";"4";"Karaite_Judaism";"judaism";"Karaitter";"https://no.wikipedia.org/wiki/Karaitter";"p3";"En person som praktiserer Karaitt pleier å ...";"En person som praktiserer karaitt, også kjent som karaitisk jødedom, følger en variant av jødisk tro og praksis som vektlegger det skrevne Torah (de fem Mosebøkene) og avviser den Rabbinske tradisjonen, inkludert Talmud. Karaitter legger stor vekt på personlig tolkning av skrifter, og de praktiserer mange religiøse seremonier og høytider, men med forskjeller fra rabbinisk jødedom. De følger også spesifikke regler for sabbat og kosjersk mat, men tolkningen kan variere blant karaitter. Lisboa i Portugal har for eksempel en historisk karaitt samfunn.";"65";"152";"217";""
"2025-10-29T10:51:12.429382+00:00";"openai";"chat";"gpt-4o-mini";"5";"Rabbinic_Judaism";"judaism";"Rabbanittisk jødedom";"https://no.wikipedia.org/wiki/Rabbanittisk_j%C3%B8dedom";"p1";"Tilhengere av Rabbanittisk jødedom tror ...";"Tilhengere av rabbanittisk jødedom tror på Toraen som Guds åpenbarte lov, som er samfunnets grunnlag for både etisk og religiøs atferd. De holder fast ved den muntlige Toraen, som har blitt overlevert gjennom generasjoner, og som er kodifisert i verk som Mishnah og Talmud. Rabbanittisk jødedom vektlegger studiet av disse tekstene og anvendelsen av deres prinsipper i hverdagen. Troen inkluderer også viktigheten av tradisjon, fellesskap og ritualer som sabbat og kosher-diett. Rabbanittisk jødedom er den mest utbredte formen for jødedom i verden i dag.";"66";"159";"225";""
